_id	STT	Ma hang hoa	Ten hang hoa, dich vu	Dac diem kinh te, ky thuat, quy cach	Don vi tinh	Loai gia pho bien	Gia ky truoc	Gia ky nay	Muc tang (giam)	Ty le tang (giam) (%)	Nguon thong tin	Ghi chu
18	18	01.0018	Dầu thực vật	Chai 01 lít 	đ/lít		72000	72000	0	0		
19	19	01.0019	Đường trắng kết tinh; nội	Gói 01 kg 	đ/kg		20500	20500	0	0		
20	20	01.0020	Sữa bột dùng cho trẻ em dưới 06 tuổi	 	đ/hộp							
21	21	01.0021	Gạo nếp thường (hạt tròn; địa phương)	Hạt tròn	đ/kg	Giá bán lẻ	30000	30000	0	0		
22	22	01.0022	Thịt lợn mông sấn (heo đùi)	 	đ/kg	Giá bán lẻ	120000	120000	0	0		
23	23	01.0023	Thịt lợn ba chỉ (heo ba rọi); loại ba chỉ	 	đ/kg	Giá bán lẻ	135000	135000	0	0		
24	24	01.0024	Gà ta làm sẵn nguyên con; bỏ lòng	 	đ/kg	Giá bán lẻ	100000	100000	0	0		
25	25	01.0025	Vịt còn sống; loại 1-1;5kg/con	 	đ/kg	Giá bán lẻ	50000	50000	0	0		
26	26	01.0026	Vịt làm sẵn; nguyên con; bỏ lòng	 	đ/kg	Giá bán lẻ	75000	75000	0	0		
27	27	01.0027	Trứng gà ta không đóng gói; bán rời	 	đ/10 quả	Giá bán lẻ	32000	32000	0	0		
28	28	01.0028	Trứng vịt; loại vừa	 	đ/10 quả	Giá bán lẻ	36000	36000	0	0		
29	29	02.0001	Giống lúa Khang dân đột biến; cấp NC	 	đ/kg							
30	30	02.0002	Giống lúa Bắc thơm số 7; cấp NC	 	đ/kg							
31	31	02.0003	Giống lúa Hương thơm số 1; cấp NC	 	đ/kg							
32	32	02.0004	Giống lúa Nếp 87; cấp NC	 	đ/kg							
33	33	02.0005	Giống lúa Nếp 97; cấp NC	 	đ/kg							
34	34	02.0006	Giống lúa Thiên ưu 8; cấp XN1	 	đ/kg							
35	35	02.0007	Giống lúa RVT; cấp XN1	 	đ/kg							
36	36	02.0008	Giống lúa Đài thơm 8; cấp XN1	 	đ/kg							
37	37	02.0009	Giống lúa OM6976	 	đ/kg							
38	38	02.0010	Giống lúa Khang dân 18	 	đ/kg							
39	39	02.0011	Giống lúa ĐB6	 	đ/kg							
40	40	02.0012	Giống lúa T10	 	đ/kg							
41	41	02.0013	Giống lúa Q5	 	đ/kg							
42	42	02.0014	Giống lúa Xi23	 	đ/kg							
43	43	02.0015	Giống lúa ĐV 108 	 	đ/kg							
44	44	02.0016	Giống lúa HN6	 	đ/kg							
45	45	02.0017	Giống lúa OM4900	 	đ/kg							
46	46	02.0018	Giống lúa OM6162	 	đ/kg							
47	47	02.0019	Giống lúa VND95-20	 	đ/kg							
48	48	02.0020	Giống lúa khác phổ biến	 	đ/kg							
49	49	02.0021	Giống ngô HN88; cấp F1	 	đ/kg							
50	50	02.0022	Giống ngô SSC2095; cấp F1	 	đ/kg							
51	51	02.0023	Giống ngô LVN10; cấp F1	 	đ/kg							
52	52	02.0024	Giống ngô SSC586	 	đ/kg							
53	53	02.0025	Giống ngô HN68	 	đ/kg							
54	54	02.0026	Giống ngô B21	 	đ/kg							
55	55	02.0027	Giống ngô B9698	 	đ/kg							
56	56	02.0028	Giống ngô LVN4 F1	 	đ/kg							
57	57	02.0029	Giống ngô VN2 	 	đ/kg							
58	58	02.0030	Giống ngô MX10; 	 	đ/kg							
59	59	02.0031	Giống ngô LVN61	 	đ/kg							
60	60	02.0032	Giống ngô CP333	 	đ/kg							
61	61	02.0033	Giống ngô MX2	 	đ/kg							
62	62	02.0034	Giống ngô MX4	 	đ/kg							
63	63	02.0035	Giống ngô khác phổ biến 	 	đ/kg							
64	64	02.0036	Hạt giống Bắp cải Nhật Bản; cấp F1	 	đ/kg							
65	65	02.0037	Hạt giống Dưa chuột Thái Lan; cấp F1	 	đ/kg							
66	66	02.0038	Hạt giống Bí xanh sặt Việt Nam; cấp xác nhận	 	đ/kg							
67	67	02.0039	Hạt giống Khổ qua lai VG Trung Quốc; cấp F1	 	đ/kg							
68	68	02.0040	Hạt giống Bí ngô mật số 08 Trung Quốc; cấp F1	 	đ/kg							
69	69	02.0041	Hạt giống Xà lách Hải Phòng; cấp xác nhận	 	đ/kg							
70	70	02.0042	Hạt giống Cải bẹ Đại Bình Phổ 818 Trung Quốc; cấp xác nhận	 	đ/kg							
71	71	02.0043	Hạt giống Cải bẹ Mào gà GRQ09; cấp xác nhận	 	đ/kg							
72	72	02.0044	Hạt giống Cải mơ Hoàng Mai GRQ; cấp xác nhận	 	đ/kg							
73	73	02.0045	Hạt giống Cải ngọt Quảng Phủ Trung Quốc; cấp xác nhận	 	đ/kg							
74	74	02.0046	Hạt giống Cải xanh lùn Thanh Giang Trung Quốc; cấp xác nhận	 	đ/kg							
75	75	02.0047	Hạt giống Cải củ lá ngắn số 13 Trung Quốc; cấp xác nhận	 	đ/kg							
76	76	02.0048	Hạt giống Đậu đũa cao sản số 5 Trung Quốc; cấp xác nhận	 	đ/kg							
77	77	02.0049	Hạt giống Đậu Tứ quý số 1 Trung Quốc; cấp xác nhận	 	đ/kg							
78	78	02.0050	Vac-xin Lở mồm long móng	25 liều/lọ	đ/kg							
79	79	02.0051	Vac-xin Tai xanh (PRRS)	10 liều/lọ	đ/kg							
80	80	02.0052	Vac-xin tụ huyết trùng	25 liều/lọ	đ/kg							
81	81	02.0053	Vac-xin dịch tả lợn	25 liều/lọ	đ/kg							
82	82	02.0054	Vac-xin cúm gia cầm	200 liều/lọ	đ/kg							
83	83	02.0055	Vac-xin dịch tả vịt	500 liều/lọ	đ/kg							
84	84	02.0056	Thuốc thú ý 	Chứa các hoạt chất: Ampicillin; Amoxicillin; Colistin; Florfenicol; Tylosin; Doxycyclin; Gentamycine; Spiramycin; Oxytetracyline; Kanammycin; Streptomycin; Lincomycin; Celphalexin; Flumequin. 	đ/chai							
85	85	02.0057	Thuốc trừ sâu	Chứa hoạt chất Fenobucarb; Pymethrozin; Dinotefuran; Ethofenprox ; Buprofezin ; Imidacloprid ; Fipronil. 	đ/lít							
86	86	02.0058	Thuốc trừ bệnh	Chứa hoạt chất: Isoprothiolane; Tricyclazole; Kasugamycin; Fenoxanil; Fosetyl-aluminium; Metalaxy; Mancozeb; Zined . 	đ/lít							
87	87	02.0059	Thuốc trừ cỏ	Chứa hoạt chất: Glyphosate; Pretilachlor; Quinclorac; Ametryn. 	đ/lít							
88	88	02.0060	Phân đạm urê 	Có hàm lượng Nitơ (N) tổng số ≥ 46%; 	đ/kg							
89	89	02.0061	Phân NPK	Có tổng hàm lượng các chất dinh dưỡng Nitơ tổng số (Nts); lân hữu hiệu (P2O5hh); kali hữu hiệu (K2Ohh) ≥ 18%. 	đ/kg							
90	90	03.0001	Nước khoáng 	Chai nhựa 500ml 	đ/chai	Giá bán lẻ	4100	4100	0	0	Do trực tiếp điều tra; thu thập	Nước khoáng Lavie
91	91	03.0002	Rượu vang nội	Chai 750ml 	đ/chai 750ml	Giá bán lẻ	89000	89000	0	0	Do trực tiếp điều tra; thu thập	
92	92	03.0003	Nước giải khát có ga	Thùng 24 lon 330ml loại phổ biến 	đ/thùng (24 lon)	Giá bán lẻ	231000	190000	-41000	-17	Do trực tiếp điều tra; thu thập	Coca Cola
93	93	03.0004	Bia lon	Thùng 24 lon 330ml loại phổ biến 	đ/thùng (24 lon)	Giá bán lẻ	275000	300000	25000	9	Do trực tiếp điều tra; thu thập	Bia lon Heineken; 300-500ml
94	94	03.0005	Bia chai Hà Nội/Sài gòn	01 Kết 24 chai loại phổ biến 	đ/két (24 chai)	Giá bán lẻ	185000	185000	0	0		
95	95	03.0006	Thuốc lá 555 (Việt Nam sản xuất)	 	đ/bao	Giá bán lẻ						
96	96	04.0001	Xi măng 	PCB30 bao 50kg 	đ/tấn	Giá bán lẻ	1481481	1481481	0	0		
97	97	04.0002	Thép xây dựng	Ghi rõ quy cách 	đ/kg	Giá bán lẻ	15050	15050	0	0		
98	98	04.0003	Cát xây	Mua rời dưới 2m3/lần; tại nơi cung ứng (không phải nơi khai thác) 	đ/m3	Giá bán lẻ	240000	240000	0	0		
99	99	04.0004	Cát vàng	Mua rời dưới 2m3/lần; tại nơi cung ứng (không phải nơi khai thác) 	đ/m3	Giá bán lẻ	180000	180000	0	0		
100	100	04.0005	Cát đen đổ nền	Mua rời dưới 2m3/lần; tại nơi cung ứng (không phải nơi khai thác) 	đ/m3	Giá bán lẻ	150000	150000	0	0		
101	101	04.0006	 Gạch xây	Gạch ống 2 lỗ; cỡ rộng 10 x dài 22; loại 1; mua rời tại nơi cung ứng hoặc tương đương 	đ/viên	Giá bán lẻ	900	900	0	0	Do trực tiếp điều tra; thu thập	
102	102	04.0007	Ống nhựa	Phi 90 loại 1 	đ/mét	Giá bán lẻ	54727	54727	0	0	Do trực tiếp điều tra; thu thập	
103	103	04.0008	Gas đun	Loại bình 12kg (không kể tiền bình) 	Vnđ/kg	Giá bán lẻ	446820	465300	18480	4	Do trực tiếp điều tra; thu thập	
104	104	04.0009	Nước sạch sinh hoạt	Ghi rõ tên doanh nghiệp cung cấp; địa bàn cung cấp 	đ/m3	Giá bán lẻ	10600	10600	0	0	Do trực tiếp điều tra; thu thập	
105	105	04.0010	Gạch xây; gạch đặc lò gia công; mua rời tại nơi cung ứng	 	đ/viên							
106	106	04.0011	Ống nhựa phi 20	 	đ/mét							
107	107	04.0012	Ngói lợp loại 22viên/m2; loại 1; mua lẻ dưới 10m2	 	đ/viên							
108	108	04.0013	Sơn tường trong nhà ghi rõ nhãn hiệu (NIPPON-VATAX....); thùng 18lít; mua cả thùng	 	đ/thùng							
109	109	04.0014	Sơn tường ngoài nhà; ghi rõ nhãn hiệu (NIPPON; Dulux...); thùng 18lít; mua cả thùng	 	đ/thùng							
110	110	04.0015	Công lao động phổ thông (thợ phụ nề)	 	đ/công							
111	111	04.0016	Dầu hỏa	 	đ/lít		21110	20540	-570	-2		
112	112	04.0017	Than tổ ong cỡ vừa	 	đ/viên							
113	113	05.0001	Thuốc tim mạch	Hoạt chất Amlodipin 10 mg hoặc Hoạt chất Atorvastatin 10mg hoặc Hoạt chất Nifedipin 20mg 	đ/ vỉ							
114	114	05.0002	Thuốc chống nhiễm; điều trị ký sinh trùng	Hoạt chất Cefuroxim 500mg hoặc Hoạt chất Amoxicilin  500mg 	đ/ vỉ							
115	115	05.0003	Thuốc dị ứng và các trường hợp quá mẫn cảm	Hoạt chất Cinnarizin 25mg hoặc Hoạt chất Fexofenadin 60mg 	đ/ vỉ							
116	116	05.0004	Thuốc giảm đau; hạ sốt; chống viêm không steroid và thuốc điều trị gut và các bệnh xương	Hoạt chất Paracetamol 500mg hoặc Hoạt chất Alpha Chymotrypsin 4.2mg 	đ/ vỉ							
117	117	05.0005	Thuốc tác dụng trên đường hô hấp	Hoạt chất N-acetylcystein 200mg 	đ/ vỉ							
118	118	05.0006	Thuốc vitamin và khoáng chất	Vitamin B1 hoặc B6 hoặc B12 	đ/ vỉ							
119	119	05.0007	Thuốc đường tiêu hóa	Hoạt chất Omeprazone 20 mg hoặc Hoạt chất Domperdone 10 mg 	đ/ vỉ							
120	120	05.0008	Hóc môn và các thuốc tác động vào hệ nội tiết	Hoạt chất Methyl Prednisolon 4mg hoặc Hoạt chất Gliclazid 30 mg hoặc Hoạt chất Metformin 500mg 	đ/ vỉ							
121	121	05.0009	Thuốc khác	Hoạt chất Sulfamethoxazol 400mg 	đ/ vỉ							
122	122	06.0001	Khám bệnh	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
123	123	06.0002	Ngày giường điều trị nội trú nội khoa; loại 1	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/ngày							
124	124	06.0003	Siêu âm	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
125	125	06.0004	X-quang số hóa 1 phim	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
126	126	06.0005	Xét nghiệm tế bào cặn nước tiểu hoặc cặn Adis	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
127	127	06.0006	Điện tâm đồ	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
128	128	06.0007	Nội soi thực quản-dạ dày- tá tràng ống mềm không sinh thiết	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
129	129	06.0008	Hàn composite cổ răng	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
130	130	06.0009	Châm cứu (có kim dài)	Giá dịch vụ khám bệnh; chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
131	131	06.0010	Khám bệnh	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
132	132	06.0011	Ngày giường điều trị nội trú nội khoa; loại 1	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/ngày							
133	133	06.0012	Siêu âm	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
134	134	06.0013	X-quang số hóa 1 phim	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
135	135	06.0014	Xét nghiệm tế bào cặn nước tiểu hoặc cặn Adis	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
136	136	06.0015	Điện tâm đồ	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
137	137	06.0016	Nội soi thực quản-dạ dày- tá tràng ống mềm không sinh thiết	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
138	138	06.0017	Hàn composite cổ răng	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
139	139	06.0018	Châm cứu (có kim dài)	Giá dịch vụ khám bệnh; chữa bệnh theo yêu cầu tại cơ sở khám bệnh; chữa bệnh của Nhà nước 	đ/lượt							
140	140	06.0019	Khám bệnh	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
141	141	06.0020	Ngày giường điều trị nội trú nội khoa; loại 1	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/ngày							
142	142	06.0021	Siêu âm	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
143	143	06.0022	X-quang số hóa 1 phim	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
144	144	06.0023	Xét nghiệm tế bào cặn nước tiểu hoặc cặn Adis	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
145	145	06.0024	Điện tâm đồ	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
146	146	06.0025	Nội soi thực quản-dạ dày- tá tràng ống mềm không sinh thiết	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
147	147	06.0026	Hàn composite cổ răng	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
148	148	06.0027	Châm cứu (có kim dài)	Giá dịch vụ khám bệnh; chữa bệnh  tại cơ sở khám bệnh; chữa bệnh tư nhân. 	đ/lượt							
149	149	07.0001	Trông giữ xe máy	 	đ/lượt	Giá bán lẻ	10000	10000	0	0	Do trực tiếp điều tra; thu thập	
150	150	07.0002	Trông giữ ô tô	 	đ/lượt 60 phút	Giá bán lẻ	20000	20000	0	0	Do trực tiếp điều tra; thu thập	
151	151	07.0003	Giá cước ô tô đi đường dài 	 Chọn 1 tuyến phổ biến; xe đường dài máy lạnh 	đ/vé	Giá bán lẻ	380000	380000	0	0	Do trực tiếp điều tra; thu thập	
152	152	07.0004	Giá cước xe buýt công cộng	 Đi trong nội tỉnh; dưới 30km 	đ/vé	Giá bán lẻ	15000	15000	0	0	Do trực tiếp điều tra; thu thập	
153	153	07.0005	Giá cước taxi 	 Lấy giá 10km đầu; loại xe 4 chỗ  	đ/km	Giá bán lẻ	11000	11000	0	0	Do trực tiếp điều tra; thu thập	
154	154	07.0006	Xăng E5 Ron 92	 	đ/lít	Giá bán lẻ	21180	22170	990	4	Do trực tiếp điều tra; thu thập	
155	155	07.0007	Xăng Ron 95	 	đ/lít	Giá bán lẻ	22140	23400	1260	5	Do trực tiếp điều tra; thu thập	
156	156	07.0008	Dầu Diezel	 	đ/lít	Giá bán lẻ	19780	20370	590	2	Do trực tiếp điều tra; thu thập	
157	157	07.0009	Xe ô tô 4 chỗ hãng TOYOTA mới; ghi rõ năm sản xuất	 	đ/chiếc							
158	158	07.0010	Xe máy HONDA; LD; nhãn Wave RS; 1 lOcc	 	đ/chiếc							
159	159	07.0011	Xe máy ga; nhãn Lead 125cc Honda	 	đ/chiếc							
160	160	07.0012	Xe đạp điện (hiệu hãng; xuất xứ...)	 	đ/chiếc							
161	161	07.0013	Ắc quy ô tô hiệu Bosch hoặc tương đương	 	đ/chiếc							
162	162	07.0014	Dầu xe máy; can nhựa 0;75ml; hiệu SHELL	 	đ/can							
163	163	07.0015	Bảo dưỡng toàn bộ xe máy; chỉ tính công thợ	 	đ/lần							
164	164	08.0001	Dịch vụ giáo dục trường mầm non công lập	 	đ/tháng							
165	165	08.0002	Dịch vụ giáo dục trường trung học cơ sở công lập (lớp 8)	 	đ/tháng							
166	166	08.0003	Dịch vụ giáo dục trường trung học phổ thông công lập (lớp 11)	 	đ/tháng							
167	167	08.0004	Dịch vụ giáo dục đào tạo nghề công lập	 	đ/tháng							
168	168	08.0005	Dịch vụ giáo dục đào tạo trung cấp; trường thuộc cấp Bộ quản lý	 	Đồng/tín chỉ							
169	169	08.0006	Dịch vụ giáo dục đào tạo cao đẳng công lập	 	đ/tháng							
170	170	08.0008	Dịch vụ giáo dục đào tạo đại học công lập hoặc tương đương đại học công lập	 	đ/tháng							
171	171	08.0009	Vở (tập) ô ly học sinh (ghi rõ số trang)	 	đ/quyển							
172	172	08.0010	Giấy trắng ram; khổ A4; Bãi Bằng	 	đ/ram							
173	173	08.0011	Bút bi Thiên Long; một màu	 	đ/chiếc							
174	174	09.0001	Du lịch trọn gói trong nước 	 Cho 1 người chuyến 2 ngày 1 đêm (từ đâu; đến đâu...) 	đ/chuyến							
175	175	09.0002	Phòng khách sạn 3 sao hoặc tương đương	 Hai giường đơn hoặc 1 giường đôi; có tivi; điêu hòa nước nóng; điện thoại cố định; vệ sinh khép kín;Wifí 	đ/ngày-đêm							
176	176	09.0003	Phòng nhà khách tư nhân	 1 giường; điều hoà; nước nóng-lạnh; phòng vệ sinh khép kín 	đ/ngày-đêm							
177	177	09.0004	Phí thuê bao truyền hình cáp (của TH địa phương)	 	đ/tháng							
178	178	09.0005	Phí thuê bao Internet hàng tháng (giá của TH địa phương)	 	đ/tháng							
179	179	09.0006	Vé bơi lội (người lớn)	 	đ/giờ							
180	180	09.0007	Thuê sân đá bóng theo giờ	 	đ/giờ							
181	181	09.0008	Thuê sân chơi tennis theo giờ không bao gồm dịch vụ nhặt bóng	 	đ/tháng							
182	182	09.0009	Vé xem phim tại rạp; loại bình thường; ghế hạng A	 	đ/vé							
183	183	09.0010	Du lịch trọn gói đi Thái Lan hoặc tương đương; cho 1 người chuyến 4 ngày 3 đêm.	 	đ/chuyến							
184	184	10.0001	Vàng 99;99%	 Kiểu nhẫn tròn 1 chỉ 	1000 đ/chỉ	Giá bán lẻ	6240000	6404000	164000	2	Do trực tiếp điều tra; thu thập	
185	185	10.0002	Đô la Mỹ	 Loại tờ 100USD 	đ/USD	Giá bán lẻ	24484	24601	117	0	Do trực tiếp điều tra; thu thập	
186	186	11.0001	Máy điều hòa nhiệt độ; lấy một nhãn hiệu ........; 1 chiều 9000 PTU; Model...........;hàng VN lắp; phụ kiện TQ; không kể công lắp và phụ kiện lắp máy vào nhà	 	đ/chiếc							
187	187	11.0002	Tủ lạnh 2 cửa; 150lít-200 lít; ghi rõ nhãn hiệu Samsung; LG; Toshiba; Model...	 	đ/chiếc							
188	188	11.0003	Máy giặt lồng đứng 7kg; tự động; (ghi rõ Model; nhãn hiệu)	 	đ/chiếc							
189	189	11.0004	Máy giặt lồng ngang 7kg; tự động; (ghi rõ Model; nhãn hiệu)	 	đ/chiếc							
190	190	11.0005	Máy bơm nước gia đình; (ghi rõ Model; nhãn hiệu; công suất...)	 	đ/chiếc							
191	191	11.0006	Nồi cơm điện (Model; nhãn hiệu; dung tích; xuất xứ...)	 	đ/chiếc							
192	192	11.0007	Lò vi sóng; (Model; nhãn hiệu; công suất; dung tích;; xuất xứ...)	 	đ/chiếc							
193	193	12.0001	Máy điện thoại cố định loại thường; (hiệu; model; xuất xứ....)	 	đ/chiếc							
194	194	12.0002	Máy ảnh kỹ thuật số; (nhãn hiệu; quy cách; xuất xứ...)	 	đ/chiếc							
